"image","xmin","ymin","xmax","ymax","label"
"1.png",3.21433494141971,2.634194711538462,101.98208132322536,18.05342548076923,"needletip"
"11.png",5.738110443077881,15.126804670287859,140.80167627976604,54.798584720420486,"needletip"
"10.png",2.535384954408158,6.749044667119565,64.17596161934561,20.60880710767663,"needletip"
"12.png",8.492172297240762,15.488876592917519,143.96266348008862,43.50354304079149,"needletip"
"13.png",7.210481342516447,4.738525390625,209.92548892372534,55.24430766858552,"needletip"
"16.png",7.434059992852088,20.176677273628407,93.65913508775914,48.592360647101145,"needletip"
"17.png",8.080929600915242,12.560796294341216,56.33280861713311,25.457442000105573,"needletip"
"15.png",7.085545244532087,21.72553251271236,309.6241712535172,99.04592263847218,"needletip"
"14.png",5.206790293736732,3.329383686376744,71.90156705522479,15.717787582986857,"needletip"
"18.png",8.35162686893085,6.747170787746623,94.20462602967878,28.841740883002846,"needletip"
"2.png",1.6711055610871517,4.475742739114802,62.9389401812886,16.686058140200053,"needletip"
"19.png",7.222749275407043,35.273426596603315,72.69367075500868,48.16605436114388,"needletip"
"3.png",13.688612612253886,16.6906093616908,92.73094383622616,38.86077620914075,"needletip"
"20.png",6.554704914146544,75.35853414824516,94.206718994369,100.5869720921372,"needletip"
"4.png",10.65856039918038,21.106832864401223,112.34792337219164,41.77474356697989,"needletip"
"7.png",11.89395607582942,13.730319608653105,116.05711886757298,47.47093122353054,"needletip"
"5.png",19.672257646352893,21.183662339012223,147.58592360460335,57.06039076197659,"needletip"
"6.png",10.37930479014664,4.754301483098911,97.85134463736301,36.595772689570104,"needletip"
"8.png",4.611888059058125,10.006159888373482,89.034915424473,38.22908740573459,"needletip"
"9.png",11.361902906961802,31.28323933552439,84.32633097168865,44.120154667826526,"needletip"
